,title,abstract
244,An Open Letter to President Trump,"The nation craves a plan, not hunches."
245,What to Know About Making a Will in the Age of Coronavirus,Estate planning lawyers we talked to this week said they had been getting more calls since the outbreak worsened.
246,How to Sew a Face Mask,A tutorial on how to make your own fabric face mask from common household materials.
247,The Religious Right’s Hostility to Science Is Crippling Our Coronavirus Response,Trump’s response to the pandemic has been haunted by the science denialism of his ultraconservative religious allies.
248,Texas and Ohio Include Abortion as Medical Procedures That Must Be Delayed,The moves by the states set off a new front in the political fight over abortion during the coronavirus pandemic.
249,Back From the Brink,“You always live in fear that you’re never going to wake up.” What one medical professional learned after being the first confirmed coronavirus patient in New Jersey.
250,"In Coronavirus, Industry Sees Chance to Undo Plastic Bag Bans","Backers of single-use plastic bags, battered by a series of bans nationwide, are using the health scare to argue their bags are cleaner and safer."
251,"Man Fatally Poisons Himself While Self-Medicating for Coronavirus, Doctor Says","An Arizona man and his wife ingested a fish tank cleaning additive made with the same active ingredient as chloroquine phosphate, which President Trump has referred to as a “game changer.”"
252,Shortage of Virus Tests in U.K. Lures Profiteers and Con Artists,"Private labs, clinics and opportunistic go-betweens have been snapping up diagnostic kits, often selling them at steep markups."
253,U.N. Issues $2 Billion Appeal to Combat Virus and Urges Aid for Other Crises,"Without continued humanitarian assistance, the U.N. warned, crisis areas will be unable to contain the coronavirus, potentially killing millions of people."
254,Jobs Aren’t Being Destroyed This Fast Elsewhere. Why Is That?,It’s not too late to start protecting employment or to make medical care for Covid-19 free.
255,"‘I See It as a Wave,’ Cuomo Says of Coronavirus","Gov. Andrew M. Cuomo compared the infected in New York to a rising wave of cases and “when the wave breaks, does it crash over the health care system?”"
256,"As Coronavirus Surveillance Escalates, Personal Privacy Plummets",Tracking entire populations to combat the pandemic now could open the doors to more invasive forms of government snooping later.
257,"Whenever I Throw Away a Mask, I Think of Venezuela and I Freak Out",The coronavirus will ravage the country’s already devastated health system.
258,"To Fight the Coronavirus, Cut the Red Tape",Two economists suggest suspending these 5 types of regulations because they are slowing the medical response to the pandemic. And they are asking for more ideas.
259,How South Korea Flattened the Curve,"The country showed that it is possible to contain the coronavirus without shutting down the economy, but experts are unsure whether its lessons can work abroad."
260,13 Deaths in a Day: An ‘Apocalyptic’ Coronavirus Surge at an N.Y.C. Hospital,Hospitals in the city are facing the kind of harrowing increases in cases that overwhelmed health care systems in China and Italy.
261,"No, These Medicines Cannot Cure Coronavirus","As psychiatrists, we are worried about the shocking increase in people self-medicating with unsafe drugs."
262,I.O.C. and Japan Agree to Postpone Tokyo Olympics,The decision came after swelling resistance from nations and athletes to holding the Games amid the coronavirus pandemic.
263,Are We Sure We Want to Give Trump War Powers?,Congress shouldn’t concede more power to this president (or any other). That’s the last thing we need.
264,How a College Final Became a Lesson in Survival,"When Covid-19 struck, Stanford closed its classrooms. The novelist Daniel Mason turned his students’ last assignment into an exercise for staying well."
265,‘People Are Dying’: 72 Hours Inside a N.Y.C. Hospital Battling Coronavirus,"An emergency room doctor in Elmhurst, Queens, gives a rare look inside a hospital at the center of the coronavirus pandemic. “We don’t have the tools that we need.”"
266,New York Has Roughly 5% of Coronavirus Cases Worldwide,The increase in cases stems from both the rapid growth of the outbreak and significantly increased testing in the state.
267,"With Coronavirus, ‘Health Care for Some’ Is a Recipe for Disaster",The Trump administration’s treatment of immigrants could make the epidemic worse.
268,"On Job Just 6 Weeks, U.K.’s Finance Chief Shines in Crisis","Britain’s chancellor, Rishi Sunak, a virtual unknown not long ago, is winning praise for leading the response to the virus."
269,‘Chilling’ Plans: Who Gets Care as Washington State Hospitals Fill Up?,"Fearing a critical shortage of lifesaving resources as the coronavirus spreads, Washington State is engaged in grim discussions to determine which dying patients would get priority."
270,She Had to Choose: Her Epileptic Patient or Her 7-Year-Old Daughter,"The fragile, low-paying existence of home health aides at the epicenter of the pandemic."
271,"The Best-Case Outcome for the Coronavirus, and the Worst",Will we endure 2.2 million deaths? Or will we manage to turn things around?
272,What to Say to Someone With Cancer,Don’t tell bad-news stories or be falsely optimistic. Do offer to organize closets or send eight pints of ice cream.
273,What to Do if You or a Loved One Might Have the Coronavirus,A vast majority of those infected with the coronavirus will develop only mild to moderate symptoms. But many people remain frightened and wonder how and when to seek medical care.
274,Call It ‘Coronavirus’,Disease and prejudice have long gone hand in hand. We can do better in 2020.
275,"For Urban Poor, the Coronavirus Complicates Existing Health Risks","An outbreak could devastate low-income black and Latino communities that, even in the best of times, face serious medical challenges."
276,Should More Defendants Be Claiming Insanity?,Susan Nordin Vinocour’s “Nobody’s Child” uses one case as a prism for examining the history and future of the insanity defense in American courtrooms.
277,‘Wash Our Hands? Some People Can’t Wash Their Kids for a Week.’,"In devastated northwestern Syria, the coronavirus may already be spreading in packed displacement camps, and the international response is weeks behind."
278,"Before Virus Outbreak, a Cascade of Warnings Went Unheeded","Government exercises, including one last year, made clear that the U.S. was not ready for a pandemic like the coronavirus. But little was done."
279,Coronavirus in N.Y.C.: The Latest,Mayor Bill de Blasio called on the federal government to send millions of masks and other medical supplies.
280,Turning Back the Clock on Aging Cells,Researchers report that they can rejuvenate human cells by reprogramming them to a youthful state.
281,‘We Are Frightened’: U.K. Doctors Brace for a Coronavirus Explosion,"Hospitals will soon be overwhelmed with patients they can’t treat properly, doctors say, because of the British government’s mishandling of the pandemic."
282,"92 Years Old, Scared and Pleading to Come Home",A family grapples with a wrenching coronavirus question: Do we leave our father in the nursing home?
283,The Epic Failure of Coronavirus Testing in America,China and South Korea offer lessons in how to curb this pandemic.
284,"Back at Work but Not on the Bench, Supreme Court Issues 3 Major Opinions","The court ruled in cases on the insanity defense, race discrimination and copyright infringement."
285,The President vs. the Experts: How Trump Played Down the Coronavirus,"President Trump for months contradicted experts and administration officials, sometimes at the same news conferences, about the severity of the outbreak."
286,From Flattening the Curve to Pandemic: A Coronavirus Glossary,Here are some of the terms and phrases you need to know to understand the virus and how it spreads.
287,When a Pandemic Strikes Americans Who Are Already Suffering,"For the homeless, drug addicts, miners with black lung and people crammed in apartments, Covid-19 will hit hard."
288,Op-Art: What Do We Lose When We Stop Touching Each Other?,The thing we are biologically programmed to need is also what can harm us most.
289,A French Call to Arms Against the Virus,"With the pandemic spreading, President Emmanuel Macron has adopted the language of war. Will the land of joie de vivre fall in line behind him?"
290,A Hospital Ship for N.Y.C.,"The rising number of coronavirus cases will soon overwhelm the health care system, Governor Cuomo said. A hospital ship should help."
291,Trump Slowly Enlisting More Agencies in ‘Whole of Government’ Response to Virus,"Hospital ships stayed in port, veterans hospitals awaited orders and requests for help went unanswered, as much of the government remained on the sidelines."
292,A Deadly Coronavirus Mix in Florida: An Aging Population and Lots of Young Visitors,"In Florida, where a quarter of the population is older than 60, Gov. Ron DeSantis has started to control public gatherings. But testing has been slow."
293,Pandemic Erodes Gig Economy Work,"Gig companies promoted their flexible hours as an economic lifeline for workers. In the coronavirus outbreak, it has been anything but."
294,"In Virus Hot Spot, Lining Up and Anxious at Drive-in Test Center","In New Rochelle, the early epicenter of the coronavirus in New York, the state’s first drive-in facility serves those at risk or with symptoms."
295,Congress Races to Respond to Pandemic While Defying Ban on Mass Gatherings,The Senate is rushing to complete an economic stabilization package as lawmakers brace for potential travel restrictions.
296,The Last Workout,"Told gyms would close imminently, some New Yorkers rushed to get one more burst of endorphins."
297,Inside the Coronavirus Response: A Case Study in the White House Under Trump,"Infighting, turf wars and a president more concerned with the stock market and media coverage than policy have defined the Trump White House. They have also defined how it has handled a pandemic."
298,"As Coronavirus Hits U.K., Health Workers Fear Getting Sick, and Going Broke",Low-paid health workers in Britain who could be at risk of contracting the coronavirus say they will show up to work even if they fall ill.
299,"After Days of Anxiety and Confusion, Government Workers Told to Stay Home",The nation’s 2.1 million federal employees have been left unsure of whether they are expected to report to work during the coronavirus outbreak.
300,I’m a Doctor in Britain. We’re Heading Into the Abyss.,How many people will die because we’ve been working on the brink of collapse for too long?
301,Behind the Virus Report That Jarred the U.S. and the U.K. to Action,"It wasn’t so much the numbers themselves, frightening though they were, as who reported them: Imperial College London."
302,"Trump Urges Limits Amid Pandemic, but Stops Short of National Mandates","President Trump issued national guidelines that included closing schools and avoiding bars, restaurants and groups of more than 10 as he prepared for months of upheaval."
303,This Is One Anxiety We Should Eliminate for the Coronavirus Outbreak,A patient can do everything right and still face substantial surprise medical bills.
304,How to Talk to Your Child About the Coronavirus,A psychologist offers tips tailored to age.
305,A Complete List of Trump’s Attempts to Play Down Coronavirus,He could have taken action. He didn’t.
306,A Payroll Tax Cut Won’t Work. Send Big Checks Now.,"A pandemic requires a different kind of stimulus: The government needs to get money to consumers, bolster unemployment insurance and provide loans."
307,New York State Investigates Christian Health Cost-Sharing Affiliate,Subpoenas have been issued to a company that solicits memberships for a health insurance alternative that offers no guarantees for covering medical bills.
308,"Stuck at Home, Americans Turn to Foster Pets for Companionship",Shelters across the United States are reporting upticks in foster applications as people seek out a friend to ride out the coronavirus crisis with.
309,Letter of Recommendation: Gyms,It used to be that artists were allergic to exercise and relieved themselves with absinthe and orgies. Now there are spin classes.
310,America’s Economy Begins to Shut Down as Pandemic Measures Take Hold,"The fast-spreading virus has put an end to movies, date nights and other economic activity, prompting some economists to call a U.S. recession."
311,‘It’s Totally Ad Hoc’: Why America’s Virus Response Looks Like a Patchwork,"For centuries, the United States has resisted a centralized public health policy. This week, as protective measures against the coronavirus varied county to county, Americans saw the cost."
312,Here’s What’s in Congress’s Emergency Coronavirus Bill,"The package includes free coronavirus testing for all, but its two weeks of paid sick don’t apply to many workers. The Senate is expected to take up the measure early next week."
313,Disappointing Results of Major Study Point to Better Ways to Cut Health Care Waste,A program that focused on the patients who needed the most care didn’t keep them from landing back in the hospital.
314,Trump Declared an Emergency Over Coronavirus. Here’s What It Can Do.,The president’s action will free up funds and lower legal barriers for responding to the pandemic.
315,Why America Will Never Get Medicare for All,Forget politics or money. Racism explains why the country lacks the safety net its citizens deserve.
316,He Took a Bullet to Save His Son in Christchurch. Can They Ever Heal?,"The attack that claimed 51 lives at two mosques in New Zealand made Zulfirman Syah a hero and a victim. Over the year that followed, he and his family were left to navigate the blind turns of trauma."
317,Ticketholders Seek Refunds as Coronavirus Prompts Mass Cancellations,"For many events, it’s not too late to get your money back."
318,"Trump Makes Room for Experts, but Still Takes a Leading Role on Coronavirus","Appearing before cameras sometimes multiple times a day to talk about the outbreak, the president has offered rosy assessments and unproven or even false assertions."
319,"Tom Hanks Got Sick in Australia, Where Coronavirus Testing Isn’t Such a Hassle","In the United States, little if anything about the testing has been efficient or convenient. In Australia, it is free and widely available."
320,"U.K. Shields Its Economy From the Virus, but Not Yet Its People","The government is spending $38 billion to mitigate the effects of the coronavirus outbreak, but so far has ruled out aggressive measures to fight it."
321,"Please, Listen to Experts About the Coronavirus. Then Step Up.",This crisis has an absence of authority. Let’s fill it.
322,Confronting a Pandemic,What we can learn from the countries that have had some success in containing the coronavirus.
323,The Supreme Court’s Fictional Middle Ground on Abortion,There is no such thing.
324,Coronavirus Spurs U.S. Efforts to End China’s Chokehold on Drugs,The Trump administration says the U.S. is too dependent on China for vital drugs. But it’s unclear how much Washington can do to alter global supply chains
325,"Coronavirus Pandemic, Angela Merkel, Markets: Your Thursday Briefing",Here’s what you need to know.
326,Confusion Over Coronavirus Quarantines Feeds Anxiety,"“It’s been very crazy,” said one of the thousands of New Yorkers under quarantine about the official guidance she has gotten."
327,This Is a Good Time to Stop Fighting Anxiety,"Politics, pandemics and everyday life can cause negative feelings. These days, I just accept them."
328,How Not to Get Sick While Traveling,Should you wear a mask? Does airplane travel pose a greater risk? Do hand sanitizers work? Health professionals offer some tips.
329,"Joe Biden, Not Bernie Sanders, Is the True Scandinavian",Sanders totally misunderstands what’s behind Denmark’s safety net.
330,Dow Ends 11-Year Bull Market as Coronavirus Defies Economic Remedies,Stocks plunged anew as the outbreak was officially declared a pandemic and policies to address its impact proved lacking or ineffective.
331,The Governor and the $6 Billion Budget Gap,"Gov. Andrew Cuomo pushed to raise the minimum wage, which helped low-income workers, but it has also increased New York’s Medicaid costs."
332,The Dangers of Medicare for All,It is pure fantasy to believe that the access and quality Americans enjoy today would hold if private insurance were abolished.
333,"Going to Work With Danger, and Maybe Death, Every Day","One in five worker deaths is in construction. At the job sites we visited, everyone said three things: Be safe, keep your eyes open — and join a union."
334,"Coronavirus Turmoil in 5 Charts, 10 Quotes, 5 Photos and 1 Map",The most severe decline in stocks since the financial crisis reflects worries that a public health crisis is threatening to become a global economic disaster.
335,An Olympic Doctor Discusses the Effect of the Coronavirus on Sports,"Though the Summer Games in Tokyo are expected to go on as scheduled, “it is a dynamically changing situation,” said Jonathan Finnoff, the new chief medical officer for Team U.S.A."
336,Man Who Fatally Stabbed Woman on BART Platform Is Convicted of Murder,A jury must still decide whether John Lee Cowell was insane at the time he attacked Nia Wilson and her sister on an Oakland train platform.
337,Cuomo Attacks C.D.C. Over Delays in Coronavirus Testing,"Scarsdale shuts its public schools until March 18 after a faculty member tests positive, and Columbia University shuts classes for two days."
338,"Anyone Who Wants a Coronavirus Test Can Have One, Trump Says. Not Quite, Says His Administration.","Key officials in recent days have corrected or clarified the president, who has sought to project calm as the coronavirus continues to spread in the United States."
339,Watch Live: Health Secretary Alex Azar Testifies on Coronavirus,"The secretary of health and human services, Alex M. Azar II, is testifying to lawmakers about efforts to respond to the coronavirus outbreak."
340,Judge Orders Medical Panel to Evaluate Tortured Guantánamo Prisoner,"For the first time, a federal court is requiring the United States military to allow American and foreign doctors to assess a mentally ill prisoner at Guantánamo Bay."
341,The Simple Reason the Left Won’t Stop Losing,Progressives need to care more about winning.
342,The Public Option Is Not an Easy Fix for Health Care,Experiences in Washington State and Colorado demonstrate the challenges of trying to create a nationwide insurance plan.
343,"Pence, a Loyalist Tapped for Coronavirus Effort, Adds to Trump’s Mixed Messages","In wresting control of the administration’s haphazard response to the virus, Mike Pence has taken on a familiar role as the president’s political janitor."
344,Why the Coronavirus Could Threaten the U.S. Economy Even More Than China’s,"If people stop traveling and going to the dentist, the gym or even March Madness basketball games, the impact could be enormous, an economist says."
345,Body Temperature 2.0: Do We Need to Rethink What’s Normal?,"Since 1851, when the standard was set at 98.6 Fahrenheit, the average human body temperature has steadily declined."
346,The Week in Tech: Welcome to the Age of Mandatory Videoconferencing,Telling employees to work from home. Bearing down on misinformation removal. Here is how the coronavirus is affecting the industry.
347,"U.S. Health Workers Responding to Coronavirus Lacked Training and Protective Gear, Whistle-Blower Says","Team members were not properly trained, lacked necessary gear and moved freely around and off military bases where Americans were quarantined, a complaint says."
348,"As Coronavirus Spreads, Olympics Face Ticking Clock and a Tough Call","During a conference call with the World Health Organization last week, sports federations discussed holding the Tokyo Games without fans."
349,"How to Threaten a Political Movement, 30 Seconds at a Time","Ads against Medicare for All aired during the Democratic debates. Between the lines, you could almost hear an industry putting party leaders on notice."
350,Can Bernie Sanders Still Win?,"The senator fell short of expectations on Super Tuesday, but the race is far from over."
351,Loud Fitness Classes Take a Toll on Instructors’ Voices,Motivating clients to push themselves by shouting at high volume can compromise fitness instructors’ vocal health.
352,Worried About Coronavirus on the Subway? Here’s What We Know,"As the M.T.A. vows to regularly disinfect a system used by millions of people a day, here are some tips for trying to stay safe."
353,China Identifies New Virus Causing Pneumonialike Illness,"The new coronavirus doesn’t appear to be readily spread by humans, but researchers caution that more study is needed."
354,Coronavirus in New York: The Latest,"After a new case emerged in Westchester, the state and the city are testing for infections and tracking possible contacts."
355,Trump Makes the American Health Care System Even Worse,China’s failures on the coronavirus are distracting us from the mess we have at home.
356,Close to a Million Coronavirus Tests Could Be Ready in U.S. This Week,"Looser regulations on who can develop tests for the virus will allow for a significant increase in the number of Americans likely to be screened, the F.D.A. commissioner said."
357,These Patients Are Hard to Treat,"A study examined a popular approach that coordinated care for the most expensive patients, and found that the project did not reduce hospital admissions."
358,Donna Shalala: Drop the Politics and Fight the Coronavirus,"Public health experts, not politicians, should lead through this crisis."
359,"Italy, Europe’s Coronavirus Lab","Most Italians are unfamiliar with epidemics, so we struggle, confused, to react. Avoiding each other is hard. But we must. At least for one more week."
360,What ‘Medicare for All’ Means After a Six-Year Strike for Health Benefits,"To understand how union members in Las Vegas are thinking about Bernie Sanders, it helps to remember a picket line in the 1990s."
361,Is This Coronavirus ‘the Big One’?,"For decades, experts’ warnings to prepare have gone unheeded."
362,"Weekly Health Quiz: Sugar, Brain Health and Foods for Sleep",Test your knowledge of this week’s health news.
363,We Don’t Really Know How Many People Have Coronavirus,"In an era when we get flash-flood warnings on phones, why is data on the new coronavirus so limited?"
364,Government Eyes War Powers to Speed Medical Manufacturing Ahead of Virus,"Alex M. Azar II, the health secretary, raised the prospect of invoking a Korean War-era law to expand production of materials for national security purposes in a potential coronavirus outbreak."
365,Who Will Care For Society’s Forgotten?,"Housecall Providers, an organization in Portland, Ore., provides end-of-life care for the city’s most vulnerable residents."
366,How to Pack a Go Bag for Extended Hospital Stays,"For frequent hospital visits, a “go bag” with sleep helpers, organization tools, entertainment can help make you more comfortable."
367,Coronavirus in N.Y.: Growing Anxiety as Doctors Prepare for an Epidemic,"No confirmed cases have appeared in the city or state, but officials have begun to brace for the possibility of a widespread outbreak."
368,It’s Your Birthday and You Can Do What You Want To,Four ideas for how to solve the problem of your birthday.
369,The Capital That Ate Wellness Is Going to Eat Your Mushrooms,Venture capital arrives for psychedelics.
370,How Bad Will the Coronavirus Outbreak Get?,"There’s a lot we don’t know, but experts say there are ways to prepare."
371,‘Someone Needs to Be in Charge’: Alex Azar Grilled in Coronavirus Hearing,"The secretary of health and human services, Alex M. Azar II, testified to lawmakers about efforts to respond to the coronavirus outbreak."
372,The Basics of ‘Medicare for All’,What to know about Bernie Sanders’s health care plan.
373,The Case for Amy Klobuchar,She can win over the voters that Democrats need.
374,‘Recipe for a Massive Viral Outbreak’: Iran Emerges as a Worldwide Threat,"Long a regional crossroads, Iran is spreading the new coronavirus to a host of neighboring countries. Many are ill equipped to cope."
375,How a Persian Mystic Poet Changed My Life,My father recited Rumi to me as I grew up. I finally chose to listen.
376,White House Asks Congress for Billions to Fight Coronavirus,The request arrived at the same time the Trump administration is proposing cuts to health programs across the government and as health officials across the nation struggle to keep up with costs.
377,"Spreading Across Continents, a Lethal Virus Tests a Fraying Global Order",New outbreaks in Europe and the Middle East are accelerating amid concerns that the global response is fractured and uncoordinated.
378,Democrats Plan to Highlight Health Care and Jobs Over Investigating Trump,"With impeachment behind them and an eye on November, Democrats appear to have decided that focusing on President Trump’s norm-shattering words and deeds only elevates him."
379,"Piled Bodies, Overflowing Morgues: Inside America’s Autopsy Crisis",Medical examiners provide crucial insights into public health and safety. What happens when we don’t have enough of them?
380,"It Looks Like Health Insurance, but It’s Not. ‘Just Trust God,’ Buyers Are Told.","Some state regulators are scrutinizing nonprofit Christian cost-sharing ministries that enroll Americans struggling to pay for medical care, but aren’t legally bound to cover their members’ claims."
381,The World Isn’t Ready for a Major Coronavirus Outbreak,"Investors are hedging their portfolios, businesses are revising their forecasts, and government officials are preparing for the worst."
382,"Bernie Sanders Outlines Funding for His Plans, but It May Not All Add Up","After months of resistance to discussing how he would pay for his plans like “Medicare for all” and canceling student debt, Mr. Sanders announced the explanation at a CNN event on Monday."
383,Bernie Sanders Is Making a Big Mistake,It has to do with respect.
384,Don’t Doubt Bernie,"Sanders has hurdles to overcome, but clearly, he could defeat Trump."
385,Coronavirus Spreads as New Cases Double in South Korea,"The spike raised fears that another Asian country was losing control over the rapid spread of the virus, making it more difficult to avert a global pandemic."
386,"Florida Doctor Bilked $26 Million From Health Insurers, Officials Say","Dr. Moses deGraft-Johnson, who told investigators he wanted to one day become president of Ghana, sent nearly $2 million to people or entities there, court records show."
387,6-Year-Old Held in Mental Health Center for 2 Days Without Mother’s Consent,"Under a Florida law called the Baker Act, Nadia King was removed from her Jacksonville elementary school this month after she reportedly had a series of outbursts."
388,Trump Was Furious That Passengers With Coronavirus Were Brought Back to U.S.,Among the passengers from the Diamond Princess cruise ship who were flown back were 14 American citizens who tested positive for the virus. The move took Mr. Trump by surprise.
389,One Guaranteed Winner in the Democratic Primary: Plans to Tax the Rich,Every leading candidate for the 2020 Democratic nomination is proposing trillions of dollars of new taxes on wealthy Americans and businesses. The divide in the field is how high to go.
390,"Medicare’s Private Option Is Gaining Popularity, and Critics","As more Americans sign up for Medicare Advantage, detractors worry that it’s helping private insurers more than patients."
391,Thinking of Moving Abroad? Here Are Five Things to Know Before You Go,It’s never been easier to live a seamless international life. But that doesn’t mean you shouldn’t be prepared.
392,When Black Girls Hear That ‘Our Bodies Are All Wrong’,Insidious messages can contribute to eating disorders for women of color.
393,"Even When I’m Psychotic, I’m Still Me","When my bipolar disorder caused a break with reality, most everyone in my life disappeared."
394,Elizabeth Warren’s Big Strengths,"And her weakness, too."
395,‘A Public Health Crisis’: Lawsuit Claims Juul Targeted Teenagers,"The Massachusetts attorney general announced a lawsuit against Juul Labs, accusing the vaping company of marketing to young, nonsmokers during its launch period."
396,Vitamin K for Newborns Is a No-Brainer. Why Are So Many Parents Worried?,"Parents are increasingly questioning, and declining, vitamin K, which protects newborns from serious bleeding."
397,"My $145,000 Surprise Medical Bill",What my brief glimpse into the financial abyss taught me about the American health care system.
398,Family of Caroline Flack Shares Post Written Before Star’s Suicide,"The former host of the hit reality show “Love Island” wrote the post after she was charged with assaulting her boyfriend, but was advised not to publish it."
399,Older People Need Geriatricians. Where Will They Come From?,The medical profession has been troubled for years by a persistent shortage of doctors who treat the oldest and sickest patients.
400,Fact-Checking Pete Buttigieg Before the Nevada Caucuses,"The former mayor of South Bend, Ind., has cherry-picked his record on minority poverty and arrests, overstated his consistency on health policy and used a questionable rationale to attack a rival."
401,My Father in Syria Needed Pills,It took two weeks for them to get to him. By then it was too late.
402,"With Partial Flavor Ban, Trump Splits the Difference on Vaping","An initiative to reduce the use of e-cigarettes by teenagers led to compromise. Sales of most flavored pods popular with youth will be forbidden, but flavored liquid nicotine for open tank devices will be exempt."
403,The Next Hurdle for Bernie Sanders: Nevada’s Top Union Dislikes ‘Medicare for All’,His Democratic rivals are trying to capitalize.
404,My Friend Lives Inside the War on Terror. Listen to Him.,Capt. Richard Murphy spoke to me about his looming deployment to Afghanistan and how he keeps soldiers mentally healthy.
405,Some Experts Worry as a Germ-Phobic Trump Confronts a Growing Epidemic,"When President Barack Obama contended with an Ebola outbreak, Mr. Trump demanded measures like canceling flights, forcing quarantines and even denying the return of American medical workers."
406,Who’s Profiting From Your Outrageous Medical Bills?,The same people who should be fixing them.
407,Nevada’s Powerful Culinary Union Won’t Endorse in the Democratic Race,"The decision dealt a blow to Joe Biden, who had hoped his longstanding ties to organized labor would win him the union’s coveted support."
408,"Weekly Health Quiz: Hair Loss, the Keto Diet and Coronavirus",Test your knowledge of this week’s health news.
409,"She Felt Fine, but Her M.R.I. Showed Several Strokes. What Was Wrong?","After the 67-year-old woman fell at the airport, the left side of her body wouldn’t cooperate. The answer to her malady was found in her heart."
410,Bernie Sanders Isn’t a Socialist,But he plays one on TV. That’s a problem.
411,What My Epilepsy Taught Me About the Value of Time,We know more about epilepsy than ever. But I am still trying to reckon with mine.
412,How Cutting Food Stamps Can Add Costs Elsewhere,"When people eat better, they enjoy better health, reducing not just suffering, but also some expenses."
413,"Fear, Fury and the Coronavirus",China’s Communist rulers are not just fighting an epidemic. They are also struggling to contain an upwelling of public anger about their own failure to stem the outbreak.
414,Iowa Woman Declared Mentally Incompetent in Hit-and-Run Cases Tied to Race,"Nicole Marie Poole Franklin told the police in Clive, Iowa, that she ran over a 14-year-old girl because she looked “Mexican,” the authorities said."
415,"Calculating Air Pollution’s Death Toll, Across State Lines","About half of the premature deaths caused by poor air quality are linked to pollutants that blow in from other states, a new study found."
416,How to Talk to Someone With Alzheimer’s,Approach from the front. Use gestures more than words. Don’t argue.
417,Legal Win Is Too Late for Many Who Got Cancer After Nuclear Clean-Up,Air Force veterans who dealt with a Cold War-era atomic accident in Spain have won the right to sue collectively for health benefits — but not before many had lost battles with cancer or other ailments.
418,U.K. Declares Coronavirus ‘Imminent Threat’ as Europe Scrambles,The declaration lets English public health officials isolate individuals who may have contracted the virus. It came as the number of cases in the country rose to eight on Monday.
419,Gracie Gold Embraces a Rugged Comeback Path,"To rebuild her figure skating career after a reckoning with mental health struggles, the Olympian has focused on redefining what success means."
420,That Lead Apron in the X-Ray Room? You May Not Need It,A number of radiology organizations are trying to end the decades-old practice of shielding patients from radiation with lead aprons.
421,"Veronica Escobar to Focus on Health Care, Guns in Spanish-Language Response to Trump",The first-term congresswoman from Texas had a visceral response to President Trump’s State of the Union address last year. Now she has the chance to rebut him directly.
422,A Football Player’s Mental Health Struggle Led Him Toward New Ambitions,"“I love playing the game of football, but not the other stuff that goes with it,” said Isaiah Woods, now considering a career in design. “I stress myself out way too much.”"
423,Jump in Coronavirus Cases on Ship Poses a Critical Test for Japan,The country is scrambling to prevent a larger outbreak even as it prepares for the Tokyo Olympics.
424,How a Health Aide Won Her Ex-Client’s $283-a-Month Apartment,"“Sometimes, the underdog gets their say, and it works out,” a supporter said of the fight for the rent-controlled unit."
425,"Africa, Intertwined With China, Fears Coronavirus Outbreak","There are no confirmed cases of coronavirus in Africa yet, but with steady traffic to and from China, experts worry that the epidemic could overrun already-strained health systems."
426,More States Require Students to Learn About Money Matters,The courses reflect a broader realization that ‘people are responsible for their own financial future.'
427,Four More Years of Trump?,"After acquittal, the question is whether his good luck will last."
428,What South Dakota Doesn’t Get About Transgender Children,Here’s how their medical care really works.
429,1 in 5 Mothers Gets Postpartum Depression. New York City Plans to Help.,Every first-time parent in the city will soon be eligible to receive as many as six home visits from professionals.
430,What We Learned in 2019: Health and Medicine,Developments in medicine and health that we’re still thinking about at year’s end.
431,Coronavirus in New York: What We Know So Far,"The C.D.C. is testing three patients in the city for coronavirus. Should New Yorkers be worried, and what could happen next?"
432,Beijing Sees ‘Major Test’ as Doors to China Close and Coronavirus Deaths Surpass SARS,"The number of dead is likely to grow as the tally of confirmed infections surges by more than 2,000 every day. “There’s no sign that it’s getting better,” said a health expert."
433,"Coronavirus in the U.S.: 29 Confirmed Cases, More Tests Underway",The latest cases were 14 people who had been evacuated by the U.S. government from a cruise ship in Japan.
434,"Pete Stark, Fighter in Congress for Health Care, Dies at 88","Hailing from a liberal corner of California, he was a major voice in health care debates, but an acid tongue may have scuttled his advancement."
435,Quieter Response to Coronavirus in Countries Where China Holds Sway,Top officials in Southeast Asia have played down the threat of the virus and shied away from travel bans. Some have even pushed supposed remedies not supported by science.
436,The Exhaustion Caucus,"The election cycle is stressful, but voters must remain enthusiastic and determined."
437,Sutter Health to Pay $575 Million to Settle Antitrust Lawsuit,The deal resolves allegations of anti-competitive behavior by the large hospital system in Northern California.
438,Cuomo’s Bad Medicine on Medicaid,Albany should cut costs instead of sticking local governments with the state’s growing bill.
439,Having a Dog as a Child Is Tied to a Lower Risk of Schizophrenia as an Adult,"But, researchers found, there was no significant effect of exposure to cats."
440,State Department Warns Against Traveling to China Amid Coronavirus Outbreak,"Americans who are currently in China should consider leaving, United States officials said."
441,3 Major U.S. Airlines Suspend China Flights Over Coronavirus,"American, Delta and United will halt service to the Chinese mainland, widening the impact of the outbreak on business and travel."
442,"Weekly Health Quiz: Diet, Volcanoes and Athletes' Brains",Test your knowledge of this week’s health news.
443,What Does It Mean to Have a Serious Drinking Problem?,"Alcohol was my stress reducer, my reality fighter, the conferrer of artificial joys. It was also wreaking havoc on my life."
444,"To Understand the Wuhan Coronavirus, Look to the Epidemic Triangle",We must determine whether the outbreak will turn into a global epidemic.
445,"Weekly Health Quiz: Sperm, Falling Fauna and a New Virus",Test your knowledge of this week’s health news.
446,Is the World Ready for the Coronavirus?,Distrust in science and institutions could be a major problem if the outbreak worsens.
